微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J7mUmxfCj,【看懂了美国人的反智文化，你才能真正懂这个魔幻的国家】18%的美国人认为太阳绕着地球转，近百万美国人认为地球是平的，在地图上找不到自己国家的美国人更是不计其数；即使面对来势汹汹的新冠疫情，他们也毫不在乎地走上街头，抗疫政府的隔离政策，反对研发新冠疫苗…这两百多年来美国人经历了什么，才会变得如此“反智”。  http://t.cn/A6L6si4Y ,,无,无,无,2020-06-19 16:15,微博视频,234,47,88
J7lYw7Dm3,【拒绝被年龄限制，现代女性需要“乘风破浪”】近日爆红的女团成长综艺节目#乘风破浪的姐姐#展开了一幅灵动鲜活的女子群像，姐姐们性格各异，勇于打破大众对女团的传统印象，大声向世界宣告自己的激情与勇气。美国广播电台首个女性CEO帕特·米歇尔，77岁的她在TED演讲中结合自己经历，呼吁“危险时代要做危险女性”，勇敢地在人生的高峰上不断攀登>>>  http://t.cn/A6L6Kr3a ,,无,无,无,2020-06-19 13:53,微博视频,14,4,1
J7fhmba8T,【#武汉抗疫护士昏迷百天未醒#：申请工伤被拒，复议结果仍未出】6月17日，湖北武汉。网传 “武汉抗疫昏迷的护士沈蓓因工伤认定问题行政复议获得回复，社保局认为其不符合工伤认定而维持原来决定” 情况不实。昏迷护士女儿称，昨日网传文件为社保局向复议部门提交的维持不认定工伤决定的资料，而非复议结果（社保局认为其情形不符合突发疾病死亡或者在48小时之内经抢救无效死亡，故不予认定工伤）。昏迷护士所在医院也提交资料，认为社保局可按“在抢险救灾等维护国家利益、公共利益活动中受到伤害”此条例认定昏迷护士为工伤。目前，沈蓓护士已昏迷103天，仍在等待复议结果。#网传武汉昏迷护士复议不认定工伤#结果不实（来源@易视频）前情回顾：http://t.cn/A6LxrC96 http://t.cn/A6LxQcY6 ,,无,无,无,2020-06-18 20:50,无,156,79,27
J7e3foYcf,【江苏#高校举办雨夜毕业歌会#，雨中撑伞唱歌挥泪告别】2020年6月17日，江苏省连云港市，@江苏海洋大学 因为疫情原因没有举办大型毕业典礼，毕业生在本月20号就要陆续离校。为了弥补遗憾，200多名毕业生当晚冒着雨撑着伞在宿舍楼下唱“离歌”，众多学生都感动哭了。大四毕业生韦同学，也参加了活动，他说现场雨还是很大的，唱到最后有的同学都不打伞了，泪水雨水融合到一块，这是让他终生难忘的毕业季。（来源@易视频）  http://t.cn/A6LxZbqL ,,无,无,无,2020-06-18 17:43,微博 weibo.com,15,4,4
J76Ekt3sh,#黄子韬冰淇淋#等了好久终于等到今天，@YKYBtao-黄子韬 新歌《冰激凌》终于首唱啦……“开心的吃着我的ice cream，那些烦恼都离我而去了呢”，治愈情歌融化夏日烦恼，甜甜的歌你值得拥有，快来感受韬韬这波甜蜜暴击吧？湖南卫视618超拼夜的微博视频  ,,无,无,无,2020-06-17 22:52,微博 weibo.com,12,3,12
J73RdkD8h,【#涉事教师承认曾掌掴坠楼小学生#，新发现办辅导班、收红包等行为】6月4日，江苏常州。金坛区河滨小学一小学生缪可馨作文课后跳楼坠亡。缪可馨家人称，2019年10月，缪可馨告诉家人在课上被袁老师扇过巴掌，“感到很伤心”。涉事教师承认去年曾掌掴女孩，官方证实教师存在办辅导班、体罚及收红包等行为。针对此事，纪检部门及教育主管部门将另立调查组，对袁某的师德师风问题进行专项调查。http://t.cn/A6LVHTjW ,,无,无,无,2020-06-17 15:45,无,55,13,20
J73OTqVbY,【新城原董事长王振华猥亵女童案一审宣判：获刑五年】6月16日，上海市普陀区人民法院依法不公开开庭审理被告人王振华、周燕芬猥亵儿童案。普陀法院受理该案后，依法组成合议庭，向两名被告人及其辩护人、被害人及其法定代理人、诉讼代理人送达了起诉书副本，同时告知其相关诉讼权利和义务。辩护律师会见了当事人，并查阅全部案卷。庭审中，控辩双方分别出示了相关证据，对证据进行了质证，并充分发表了辩论意见。被告人王振华、周燕芬当庭作了最后陈述。庭审分两天进行，整个庭审过程历时16小时。法院根据两名被告人的犯罪事实、性质、情节及社会危害程度等，经合议庭评议，于6月17日当庭对被告人王振华、周燕芬作出判决，以猥亵儿童罪分别判处被告人王振华有期徒刑五年，被告人周燕芬有期徒刑四年。 http://t.cn/A6LVuSyK 原图 ,,http://wx1.sinaimg.cn/large/75b52ed2ly1gfvbuputsrj20i208hdgc.jpg,无,无,2020-06-17 15:40,无,23,7,22
J73G74KyA,#有意见公会# 微博热搜榜又回来了，你现在的心情是？ 微博热搜榜回来了，你现在的心情是？  ,,无,无,无,2020-06-17 15:18,微博 weibo.com,1087,2,11
J73yfhvSJ,【新发地附近超市湖北老板为北京加油】“我是湖北人，我为北京加油…今天，该是我们报恩的时刻了！”转！加油！战疫情！[加油] 新发地附近超市湖北老板为北京加油  原图 ,,http://wx3.sinaimg.cn/large/75b52ed2ly1gfvao0hjb0j20he0zkwhf.jpg,无,无,2020-06-17 14:59,微博 weibo.com,67,4,9
J72WqwVWF,【校长讲述小学生坠亡过程 涉事教师承认曾掌掴女孩】小学女生缪可馨上完语文课后，翻越栏杆坠楼身亡一事，引发广泛关注。当事小学校长称，此前未发现涉事老师袁某有违规情况，“她获得过十佳辅导员称号，总地来说非常优秀”，至于新发现的体罚、办辅导班、收红包等行为，会作为日后师德师风专项调查中的证据。对此，缪可馨的父亲并不认同，他不相信女儿的自杀与袁某无关。相关部门负责人介绍，涉事教师袁某目前并未被停职，只是被校方建议在家休息；即使是在校方全责的情况下，家属要求的赔偿额度仍不合理，校方无法满足其意愿，“我们只能争取和家属在赔偿上达成共识”。http://t.cn/A6LVY4rV [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/75b52ed2ly1gfv7z1mv7kj20u01197ag.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1gfv7z1azt4j21aa0u0akd.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gfv7z1cnevj20s90l60wi.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1gfv7z1guiuj20u00u3gs8.jpg",无,无,2020-06-17 13:26,微博 weibo.com,333,37,48
